"Year","Product Name","Country Name","Trade Type","Volume (kg)","Value (USD)","Edible code","FAO Country Code","HTS Number","RFMO","Trade Associations","US Customs District","Census Country Code","Census District Code"
"2020","CATFISH (ICTALURUS) FROZEN","CHINA","IMP","6,350","10,080","E","156","0303240010","CCAMLR","APEC, CCAMLR, ICCAT","LOS ANGELES, CA","5700","27"
"2020","CATFISH (ICTALURUS) FROZEN","CHINA","IMP","4,082","11,312","E","156","0303240010","CCAMLR","APEC, CCAMLR, ICCAT","SEATTLE, WA","5700","30"
"2020","CATFISH (PANGASIUS) FROZEN","VIETNAM","IMP","18,144","34,800","E","704","0303240020","","APEC, ASEAN","NEW YORK, NY","5520","10"
"2020","CATFISH (PANGASIUS) FROZEN","VIETNAM","IMP","16,329","45,000","E","704","0303240020","","APEC, ASEAN","TAMPA, FL","5520","18"
"2020","CATFISH (PANGASIUS) FROZEN","VIETNAM","IMP","568,613","1,317,947","E","704","0303240020","","APEC, ASEAN","LOS ANGELES, CA","5520","27"
"2020","CATFISH (PANGASIUS) FROZEN","VIETNAM","IMP","123,515","347,785","E","704","0303240020","","APEC, ASEAN","SAN FRANCISCO, CA","5520","28"
"2020","CATFISH (PANGASIUS) FROZEN","VIETNAM","IMP","19,958","59,930","E","704","0303240020","","APEC, ASEAN","CHICAGO, IL","5520","39"
"2020","CATFISH NSPF FROZEN","THAILAND","IMP","20,230","142,135","E","764","0303240050","","APEC, ASEAN","NEW YORK, NY","5490","10"
"2020","CATFISH NSPF FROZEN","VIETNAM","IMP","47,627","119,160","E","704","0303240050","","APEC, ASEAN","NEW YORK, NY","5520","10"
"2020","CATFISH NSPF FROZEN","VIETNAM","IMP","163,089","585,354","E","704","0303240050","","APEC, ASEAN","LOS ANGELES, CA","5520","27"
"2020","CATFISH (PANGASIUS) FILLET FRESH","VIETNAM","IMP","8,090","25,887","E","704","0304320020","","APEC, ASEAN","SAN FRANCISCO, CA","5520","28"
"2020","CATFISH (SILURUS,CLARIAS) FILLET FRESH","CHINA","IMP","15,495","94,540","E","156","0304320090","CCAMLR","APEC, CCAMLR, ICCAT","CHICAGO, IL","5700","39"
"2020","CARP,CATFISH,EELS,SNAKEHEAD MEAT FRESH","MEXICO","IMP","644","6,001","E","484","0304510190","IATTC","APEC, IATTC, ICCAT, NAFTA, OECD","NEW YORK, NY","2010","10"
"2020","CARP,CATFISH,EELS,SNAKEHEAD MEAT FRESH","GUYANA","IMP","1,020","3,598","E","328","0304510190","","CARICOM, CBERA","NEW YORK, NY","3120","10"
"2020","CARP,CATFISH,EELS,SNAKEHEAD MEAT FRESH","GUYANA","IMP","850","2,338","E","328","0304510190","","CARICOM, CBERA","LOS ANGELES, CA","3120","27"
"2020","CARP,CATFISH,EELS,SNAKEHEAD MEAT FRESH","GUYANA","IMP","2,386","12,513","E","328","0304510190","","CARICOM, CBERA","MIAMI, FL","3120","52"
"2020","CATFISH (ICTALURUS) FILLET FROZEN","VIETNAM","IMP","8,029","45,964","E","704","0304620010","","APEC, ASEAN","TAMPA, FL","5520","18"
"2020","CATFISH (ICTALURUS) FILLET FROZEN","CHINA","IMP","18,370","93,150","E","156","0304620010","CCAMLR","APEC, CCAMLR, ICCAT","BOSTON, MA","5700","04"
