"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month","USDAxVolume"
"1",Mar 2012,"BRAZIL",21584,62250,NA,0,2012,3,0
"2",Mar 2012,"CANADA",3148,59061,NA,0,2012,3,0
"3",Mar 2012,"CHINA",267044,2033554,NA,0,2012,3,0
"4",Mar 2012,"MEXICO",6896,14360,NA,0,2012,3,0
"5",Mar 2012,"VIETNAM",6632419,23952824,NA,0,2012,3,0
"6",Apr 2012,"BRAZIL",65447,190821,NA,0,2012,4,0
"7",Apr 2012,"CHINA",269674,1881163,NA,0,2012,4,0
"8",Apr 2012,"CHINA - HONG KONG",1115,7480,NA,0,2012,4,0
"9",Apr 2012,"GUYANA",1873,7459,NA,0,2012,4,0
"10",Apr 2012,"THAILAND",9280,15770,NA,0,2012,4,0
"11",Apr 2012,"VIETNAM",8613628,29870083,NA,0,2012,4,0
"12",May 2012,"BRAZIL",67213,201834,NA,0,2012,5,0
"13",May 2012,"CANADA",6546,60416,NA,0,2012,5,0
"14",May 2012,"CHINA",192510,1243104,NA,0,2012,5,0
"15",May 2012,"MEXICO",290,2784,NA,0,2012,5,0
"16",May 2012,"PHILIPPINES",13263,74710,NA,0,2012,5,0
"17",May 2012,"SPAIN",905,3227,NA,0,2012,5,0
"18",May 2012,"THAILAND",800,2416,NA,0,2012,5,0
"19",May 2012,"VIETNAM",8835628,29936274,NA,0,2012,5,0
"20",Jun 2012,"BRAZIL",2469,14863,NA,0,2012,6,0
"21",Jun 2012,"CANADA",4082,35550,NA,0,2012,6,0
"22",Jun 2012,"CHINA",182004,1009205,NA,0,2012,6,0
"23",Jun 2012,"FRENCH POLYNESIA",299,2885,NA,0,2012,6,0
"24",Jun 2012,"GREECE",42,3224,NA,0,2012,6,0
"25",Jun 2012,"NEW ZEALAND",8144,30086,NA,0,2012,6,0
"26",Jun 2012,"PHILIPPINES",23268,132900,NA,0,2012,6,0
"27",Jun 2012,"UNITED KINGDOM",1745,15372,NA,0,2012,6,0
"28",Jun 2012,"VIETNAM",8326763,27525400,NA,0,2012,6,0
"29",Jul 2012,"CANADA",476,7350,NA,0,2012,7,0
"30",Jul 2012,"CHINA",77052,365442,NA,0,2012,7,0
"31",Jul 2012,"FRENCH POLYNESIA",2213,26120,NA,0,2012,7,0
