,year,month,product_name,country_name,volume_kg,value_USD,trade_type,census_country_code,edible_code,FAO_country_code,HTS_number,RFMO,trade_associations,US_customs_district_code,US_customs_district_name,month_number
0,2002,January,CATFISH NSPF FILLET FROZEN,GUYANA,1769,5655,IMP,3120,E,328,304206030,,"CARICOM, CBERA",10,"NEW YORK, NY",1
1,2002,January,CATFISH NSPF FILLET FROZEN,VIETNAM,9979,29237,IMP,5520,E,704,304206030,,"APEC, ASEAN",18,"TAMPA, FL",1
2,2002,January,CATFISH NSPF FILLET FROZEN,VIETNAM,59239,135651,IMP,5520,E,704,304206030,,"APEC, ASEAN",20,"NEW ORLEANS, LA",1
3,2002,January,CATFISH NSPF FILLET FROZEN,VIETNAM,317779,849402,IMP,5520,E,704,304206030,,"APEC, ASEAN",27,"LOS ANGELES, CA",1
4,2002,January,CATFISH NSPF FILLET FROZEN,VIETNAM,5102,10944,IMP,5520,E,704,304206030,,"APEC, ASEAN",28,"SAN FRANCISCO, CA",1
5,2002,January,CATFISH NSPF FILLET FROZEN,VIETNAM,17310,55332,IMP,5520,E,704,304206030,,"APEC, ASEAN",52,"MIAMI, FL",1
6,2002,January,CATFISH NSPF FILLET FROZEN,VIETNAM,59195,150195,IMP,5520,E,704,304206030,,"APEC, ASEAN",53,"HOUSTON-GALVESTON, TX",1
7,2002,February,CATFISH NSPF FILLET FROZEN,GUYANA,1364,4350,IMP,3120,E,328,304206030,,"CARICOM, CBERA",10,"NEW YORK, NY",2
8,2002,February,CATFISH NSPF FILLET FROZEN,VIETNAM,17758,58163,IMP,5520,E,704,304206030,,"APEC, ASEAN",10,"NEW YORK, NY",2
9,2002,February,CATFISH NSPF FILLET FROZEN,VIETNAM,18017,49222,IMP,5520,E,704,304206030,,"APEC, ASEAN",14,"NORFOLK, VA",2
10,2002,February,CATFISH NSPF FILLET FROZEN,VIETNAM,18766,49686,IMP,5520,E,704,304206030,,"APEC, ASEAN",18,"TAMPA, FL",2
11,2002,February,CATFISH NSPF FILLET FROZEN,VIETNAM,316566,825860,IMP,5520,E,704,304206030,,"APEC, ASEAN",27,"LOS ANGELES, CA",2
12,2002,February,CATFISH NSPF FILLET FROZEN,VIETNAM,84819,222091,IMP,5520,E,704,304206030,,"APEC, ASEAN",28,"SAN FRANCISCO, CA",2
13,2002,February,CATFISH NSPF FILLET FROZEN,VIETNAM,18126,58741,IMP,5520,E,704,304206030,,"APEC, ASEAN",52,"MIAMI, FL",2
14,2002,March,CATFISH NSPF FILLET FROZEN,GUYANA,2722,5400,IMP,3120,E,328,304206030,,"CARICOM, CBERA",18,"TAMPA, FL",3
15,2002,March,CATFISH NSPF FILLET FROZEN,VIETNAM,37761,129425,IMP,5520,E,704,304206030,,"APEC, ASEAN",14,"NORFOLK, VA",3
