MFG_FIRM_FEI_NUM,LGL_NAME,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,REFUSAL_CHARGES,PRDCT_CODE_DESC_TEXT,ITACS_Product,ITACS_Quantity,Unit,Subunit,Per_LB,Per_KG,Total_LB,Total_KG,Weight_Refused_KG
3010700818,Changyang Qingjiang Pengbo Development,No 168 Changyang Ave,,Changyang City,,CN,16XVT02,5-May-14,FLA-DO,002-8148986-4,1,1,,No,Yes,2860,"CATFISH, AQUACULTURE, FRESH WATER",FRZN CATFISH FILLETS,"Total: 2939.0 Carton (2939.0 Carton, 12.0 Package, 1.0 Pounds (avdp))",2939,12,1,,35268,,15995
3010700818,Changyang Qingjiang Pengbo Development,No 168 Changyang Ave,,Changyang City,,CN,16XVT02,30-Apr-14,FLA-DO,002-8148987-2,1,1,,No,Yes,2860,"CATFISH, AQUACULTURE, FRESH WATER",FRZN CATFISH FILLETS,"Total: 2969.0 Carton (2969.0 Carton, 12.0 Package, 1.0 Pounds (avdp))",2969,12,1,,35628,,16158
3010700818,Changyang Qingjiang Pengbo Development,No 168 Changyang Ave,,Changyang City,,CN,16XVT02,22-May-14,FLA-DO,002-8149270-2,1,1,,No,Yes,2860,"CATFISH, AQUACULTURE, FRESH WATER",FRZN CATFISH FILLETS,"Total: 2970.0 Carton (2970.0 Carton, 12.0 Package, 1.0 Pounds (avdp))",2970,12,1,,35640,,16163
3006454956,"Jiangsu HaiTian Sea-Beach Aquatic Foods Co., Ltd.",Qianjinlu,Dongtaichina.,Yancheng,Jiangsu,CN,16XGT02,15-Jan-15,BLT-DO,023-0256396-6,1,1,,No,No,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FROZEN CATFISH FILLETS FARM RAISED,"Total: 3000.0 Carton (3000.0 Carton, 6.8 Kilograms)",3000,,,6.8,,20400,20400
3011257538,"Hubei Shengli Aquatic Foodstuff Co.,Ltd",No 1 Xuetian Rode,Miancheng Town,Xiantao,Hubei,CN,16XGT02,1-Mar-16,BLT-DO,023-0257843-6,1,1,,No,No,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FROZEN CATFISH FILLETS FARM RAISED,"Total: 2933.0 Carton (2933.0 Carton, 6.8 Kilograms)",2933,,,6.8,,19944.4,19944
3011257538,"Hubei Shengli Aquatic Foodstuff Co.,Ltd",No 1 Xuetian Rode,Miancheng Town,Xiantao,Hubei,CN,16XGT02,1-Mar-16,BLT-DO,023-0257844-4,1,1,,No,No,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FROZEN CATFISH FILLETS FARM RAISED,"Total: 2933.0 Carton (2933.0 Carton, 6.8 Kilograms)",2933,,,6.8,,19944.4,19944
3011257538,"Hubei Shengli Aquatic Foodstuff Co.,Ltd",No 1 Xuetian Rode,Miancheng Town,Xiantao,Hubei,CN,16XGT02,1-Mar-16,BLT-DO,023-0257860-0,1,1,,No,No,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FROZEN CATFISH FILLETS FARM RAISED,"Total: 2933.0 Carton (2933.0 Carton, 6.8 Kilograms)",2933,,,6.8,,19944.4,19944
3011257538,"Hubei Shengli Aquatic Foodstuff Co.,Ltd",No 1 Xuetian Rode,Miancheng Town,Xiantao,Hubei,CN,16XGT02,9-Mar-16,BLT-DO,023-0257885-7,1,1,,No,No,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FROZEN CATFISH FILLETS FARM RAISED,"Total: 2933.0 Carton (2933.0 Carton, 6.8 Kilograms)",2933,,,6.8,,19944.4,19944
3011257538,"Hubei Shengli Aquatic Foodstuff Co.,Ltd",No 1 Xuetian Rode,Miancheng Town,Xiantao,Hubei,CN,16XGT02,9-Mar-16,BLT-DO,023-0257940-0,1,1,,No,No,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FROZEN CATFISH FILLETS FARM RAISED,"Total: 2933.0 Carton (2933.0 Carton, 6.8 Kilograms)",2933,,,6.8,,19944.4,19944
3008047023,Hubei Zhenghe Food,1 St. Road,,Hubei,,CN,16XGD02,30-May-14,SWI-DO,038-0635381-3,1,1,,No,Yes,"238, 2860","CATFISH, AQUACULTURE, FRESH WATER",FRZ IQF CATFISH FILLETS BONELESS SKINLES SZ 3-5OZ,"Total: 2700.0 Case (2700.0 Case, 1.0 Bag, 15.0 Pounds (avdp))",2700,1,15,,40500,,18367
